set;id;link
10E;129680;https://cards.scryfall.io/large/front/7/c/7cfd53b2-3991-4a57-81b5-46618aecce4a.jpg
10E;129560;https://cards.scryfall.io/large/front/d/9/d99d5685-538d-4e6a-809b-3ebeab634363.jpg
10E;129681;https://cards.scryfall.io/large/front/7/c/7cfd53b2-3991-4a57-81b5-46618aecce4a.jpg
10E;129679;https://cards.scryfall.io/large/front/3/2/327d38a9-e631-4f5e-a7c3-b99794a40954.jpg
10E;129559;https://cards.scryfall.io/large/front/d/9/d99d5685-538d-4e6a-809b-3ebeab634363.jpg
10E;132064;https://cards.scryfall.io/large/front/6/2/626ea51c-1ef0-49ed-93de-52f8f6a9d595.jpg
10E;129671;https://cards.scryfall.io/large/front/6/f/6fa1f42f-1729-46ea-99c6-015d66c627d4.jpg
10E;132069;https://cards.scryfall.io/large/front/f/e/feacf831-a6e4-456b-b8f2-d7ec554281a1.jpg
10E;135216;https://cards.scryfall.io/large/front/e/f/efd5c07e-4ece-4c8b-93c8-6abd7dd3a39a.jpg
10E;129792;https://cards.scryfall.io/large/front/c/8/c82082bf-5b15-4835-93ad-2263f0b0a62c.jpg
10E;135217;https://cards.scryfall.io/large/front/1/e/1ed89567-cb18-4e51-a978-eac81d112aa1.jpg
10E;135218;https://cards.scryfall.io/large/front/4/f/4fe5e3ea-fcca-42c2-b3af-bfcd3a81dfff.jpg
10E;135219;https://cards.scryfall.io/large/front/1/e/1ebb7ade-ebbb-49fb-b64f-fa247f9a9af6.jpg
10E;129553;https://cards.scryfall.io/large/front/6/6/66c9aa9f-acd5-4908-9e11-1a152363ef42.jpg
10E;129554;https://cards.scryfall.io/large/front/a/b/abdf4360-ba2f-464f-86f0-1620532e6a0a.jpg
10E;129797;https://cards.scryfall.io/large/front/0/9/09117d06-79e6-4f86-ba92-d1f8fe165147.jpg
10E;129798;https://cards.scryfall.io/large/front/b/f/bf02b5fa-8589-462e-90f5-552c8f28a22f.jpg
10E;135214;https://cards.scryfall.io/large/front/2/b/2ba6c4f3-59cf-4eb8-97fb-c9138005e19c.jpg
10E;129677;https://cards.scryfall.io/large/front/3/c/3c878780-f666-44ab-a60e-c9985f628fc3.jpg
10E;106455;https://cards.scryfall.io/large/front/d/e/de15f8fd-499c-4fa0-9a10-425f81c61579.jpg
10E;129678;https://cards.scryfall.io/large/front/8/f/8f5d3dac-98df-433f-a417-bcb9c91722fb.jpg
10E;135215;https://cards.scryfall.io/large/front/d/8/d8ca1865-a7cb-4107-b2dc-0ead1cd7e6e7.jpg
10E;129557;https://cards.scryfall.io/large/front/0/9/099ecf12-b750-4a95-85c8-8612d2a77a0a.jpg
10E;129790;https://cards.scryfall.io/large/front/d/7/d7dbb437-9c76-4b87-99ba-1e24047dc3a6.jpg
10E;132072;https://cards.scryfall.io/large/front/b/6/b62ca800-ec24-476e-b56f-834eef9622a9.jpg
10E;129789;https://cards.scryfall.io/large/front/8/9/89a60271-edfc-4bb1-83d5-4d6fa0403b19.jpg
10E;129668;https://cards.scryfall.io/large/front/a/e/aea1a8e1-35f4-4b4a-aa68-21b5219527a9.jpg
10E;129548;https://cards.scryfall.io/large/front/7/c/7c623048-8c87-46d8-bf77-9fe1b38f494f.jpg
10E;135220;https://cards.scryfall.io/large/front/5/8/5811f4ee-f352-4b41-8f56-da0cb7f3f11b.jpg
10E;132071;https://cards.scryfall.io/large/front/3/c/3caf69d0-58bd-4cd1-9108-56e6cbf882e4.jpg
10E;135221;https://cards.scryfall.io/large/front/0/0/00e990aa-5124-4e9d-ab4e-178bcda12abd.jpg
10E;132073;https://cards.scryfall.io/large/front/9/5/95534175-0bf8-4460-8182-117dc1487dcb.jpg
10E;135228;https://cards.scryfall.io/large/front/2/8/28bac7a8-d3bb-4032-b30b-db7328e4d2fc.jpg
10E;129541;https://cards.scryfall.io/large/front/a/9/a978fa0a-a52b-4464-afe3-d9f7bc202e63.jpg
10E;129663;https://cards.scryfall.io/large/front/6/0/606fca10-0eb8-4f70-80bb-dd9aee50a018.jpg
10E;135223;https://cards.scryfall.io/large/front/b/a/baf37153-ec4c-4c2f-89f7-450f0a157311.jpg
10E;129544;https://cards.scryfall.io/large/front/d/8/d8fa57eb-e307-4104-a291-c6cbfa235816.jpg
10E;129665;https://cards.scryfall.io/large/front/8/d/8d784214-dc69-42d4-b897-995ca5751e13.jpg
10E;129786;https://cards.scryfall.io/large/front/b/3/b36501d5-4f45-4191-b8ec-6ab435b61bc1.jpg
10E;129546;https://cards.scryfall.io/large/front/f/c/fce1a3a3-f0b8-4088-85f6-8cbdd1f29e65.jpg
10E;135226;https://cards.scryfall.io/large/front/d/7/d7e36efa-266f-48f1-b352-862920487f58.jpg
10E;129667;https://cards.scryfall.io/large/front/6/8/686352f6-d8e7-4d31-83bd-3d087c103e75.jpg
10E;129788;https://cards.scryfall.io/large/front/b/b/bbd3ac60-aae0-45e6-8592-32be316d2f14.jpg
10E;129788t;https://cards.scryfall.io/large/front/6/9/698d48fa-d6c1-44b9-8aa2-bb03e0e53788.jpg
10E;129780;https://cards.scryfall.io/large/front/8/a/8adc48d8-7ff9-46d4-921a-03e63ca41a66.jpg
10E;129536;https://cards.scryfall.io/large/front/b/d/bda18561-4767-4f8e-bc6d-9117d1a480b1.jpg
10E;129778;https://cards.scryfall.io/large/front/8/c/8c298bf7-2514-43d4-a285-1386d6ba0835.jpg
10E;129658;https://cards.scryfall.io/large/front/f/c/fca42df8-a9a2-4391-8dec-7097f788c250.jpg
10E;106537;https://cards.scryfall.io/large/front/6/9/698f66ac-dae6-4b42-ae6f-d468b69b25be.jpg
10E;135231;https://cards.scryfall.io/large/front/8/f/8f1e75e1-a827-46c1-896f-cd8fbdf79fa8.jpg
10E;129779;https://cards.scryfall.io/large/front/6/e/6e212d55-c98d-4df6-ab5a-389f38099070.jpg
10E;129659;https://cards.scryfall.io/large/front/8/8/88111e2b-84ff-48bf-9a64-b4e9022b6dae.jpg
10E;135232;https://cards.scryfall.io/large/front/0/2/0282b59e-78ef-412d-bb76-fb337f32a213.jpg
10E;106552;https://cards.scryfall.io/large/front/1/e/1e539af0-4390-482e-8bc9-25909d782b70.jpg
10E;129770;https://cards.scryfall.io/large/front/3/9/39195bf4-896a-4a58-a7de-b9110216333b.jpg
10E;129650;https://cards.scryfall.io/large/front/a/7/a7aae748-27d8-48f8-beb2-8e0192d7cc5c.jpg
10E;129651;https://cards.scryfall.io/large/front/a/7/a7aae748-27d8-48f8-beb2-8e0192d7cc5c.jpg
10E;132089;https://cards.scryfall.io/large/front/1/5/15b3dd79-ac4c-4ffc-9442-1efa0082f60f.jpg
10E;129652;https://cards.scryfall.io/large/front/a/7/a7aae748-27d8-48f8-beb2-8e0192d7cc5c.jpg
10E;129773;https://cards.scryfall.io/large/front/1/8/1864e25e-f940-47e5-9439-ab721049c690.jpg
10E;135234;https://cards.scryfall.io/large/front/f/4/f4ac9d57-a724-4ad1-b6a7-805381c21bb3.jpg
10E;129653;https://cards.scryfall.io/large/front/7/a/7a8f8f83-65bb-4da3-8263-e58162ebb24b.jpg
10E;106556;https://cards.scryfall.io/large/front/9/0/907b49ff-2020-4203-b93e-4b3306afc337.jpg
10E;129774;https://cards.scryfall.io/large/front/d/e/de4e697d-8fef-4db9-ac8c-c5e940a9ab07.jpg
10E;129533;https://cards.scryfall.io/large/front/7/7/777633d7-e31c-4ea3-a085-2858d6ee6040.jpg
10E;106555;https://cards.scryfall.io/large/front/d/b/db17edd1-e9ed-4fd5-a304-f9a34983d138.jpg
10E;135235;https://cards.scryfall.io/large/front/8/8/88d9b1ae-755d-49e4-b012-db95019491c6.jpg
10E;129534;https://cards.scryfall.io/large/front/a/d/ad42a3fd-21ae-49cf-b11d-3700835f2f96.jpg
10E;129655;https://cards.scryfall.io/large/front/9/8/983874b1-3179-4ac6-a4f3-efa133331c6f.jpg
10E;135236;https://cards.scryfall.io/large/front/6/f/6faa876b-d6d4-4108-83e5-c06e9a786bcd.jpg
10E;129535;https://cards.scryfall.io/large/front/e/5/e5535cb2-8cda-4eb7-b201-6528c686815c.jpg
10E;129656;https://cards.scryfall.io/large/front/8/b/8ba4e513-a8a7-4338-99de-b9303813d086.jpg
10E;129898;https://cards.scryfall.io/large/front/5/2/521d1b29-c25b-443b-ae5f-07c11786947e.jpg
10E;129777;https://cards.scryfall.io/large/front/b/8/b84185d8-c058-4fe7-b46e-f5ca90e70f12.jpg
10E;130900;https://cards.scryfall.io/large/front/2/8/28e4e99d-5834-4f6c-b915-4f95edc1337f.jpg
10E;130903;https://cards.scryfall.io/large/front/8/6/869a6c06-eae5-418e-9a5c-26598a929416.jpg
10E;132090;https://cards.scryfall.io/large/front/4/5/45aa4b29-ce6b-4579-bee6-06a9ccfda55c.jpg
10E;129525;https://cards.scryfall.io/large/front/1/f/1fb98f0e-5fa0-497e-9061-85cf0b3a3eff.jpg
10E;106428;https://cards.scryfall.io/large/front/5/e/5efb8c9c-3108-4a06-8ad9-a0dbe3cc5c02.jpg
10E;135241;https://cards.scryfall.io/large/front/4/1/41368983-14f8-4efa-bb60-b0a7ceb3d021.jpg
10E;129767;https://cards.scryfall.io/large/front/5/7/57d467d4-f7d2-403c-9b70-1b054b2c82bc.jpg
10E;135242;https://cards.scryfall.io/large/front/a/e/ae2ef7bf-6e5b-40a0-8b25-478323b64bdc.jpg
10E;106427;https://cards.scryfall.io/large/front/9/0/902c9b72-170c-4c25-a966-a55d689daae8.jpg
10E;129526;https://cards.scryfall.io/large/front/7/9/79d8adbf-37b8-4d69-b25a-57ebd777b53d.jpg
10E;106426;https://cards.scryfall.io/large/front/0/e/0ed53483-4bec-491b-9ae6-afc6faf122a2.jpg
10E;135243;https://cards.scryfall.io/large/front/3/d/3d946df5-f206-4241-bb55-97db67dc793c.jpg
10E;129527;https://cards.scryfall.io/large/front/e/9/e963237e-cb33-4833-a725-4196cfdd87ef.jpg
10E;129648;https://cards.scryfall.io/large/front/b/0/b0ad89ad-03ee-4227-b2a6-5d5002eecead.jpg
10E;135244;https://cards.scryfall.io/large/front/5/e/5e3e0dff-d9f0-4222-a308-e86581c440cc.jpg
10E;129649;https://cards.scryfall.io/large/front/a/7/a7aae748-27d8-48f8-beb2-8e0192d7cc5c.jpg
10E;129529;https://cards.scryfall.io/large/front/0/1/01e71542-b9c1-4431-bfef-da629a3edc57.jpg
10E;135240;https://cards.scryfall.io/large/front/1/9/197ac76c-34c0-4d3b-868b-aa395edb221e.jpg
10E;129484;https://cards.scryfall.io/large/front/2/1/213035f9-40f5-4b4e-88b3-e262ad684294.jpg
10E;130995;https://cards.scryfall.io/large/front/b/5/b5b3c413-96ca-42c5-b263-f2da195c1854.jpg
10E;106368;https://cards.scryfall.io/large/front/7/b/7b879e83-07f7-4d9f-a144-04d81d9f700e.jpg
10E;130998;https://cards.scryfall.io/large/front/5/0/5095e0e4-d077-46a5-850c-68399fd16da6.jpg
10E;130999;https://cards.scryfall.io/large/front/2/8/286e436d-5c46-4a39-b773-99548befb9fa.jpg
10E;130515;https://cards.scryfall.io/large/front/b/6/b60e2daa-3740-40f0-a333-8b7f4c2da34a.jpg
10E;130996;https://cards.scryfall.io/large/front/d/b/dbd09923-4a4b-4ac6-a487-6e00d17183cb.jpg
10E;130997;https://cards.scryfall.io/large/front/5/7/57cec628-5f6a-4b42-9044-3f9a80cac3e6.jpg
10E;130513;https://cards.scryfall.io/large/front/f/a/fafa5aac-d4b6-47c8-b148-3077e2077e53.jpg
10E;129480;https://cards.scryfall.io/large/front/f/c/fcc887b1-299e-49f2-94ab-7c3fb24b1432.jpg
10E;143024;https://cards.scryfall.io/large/front/1/d/1da84a3e-a8b2-4cb4-b9c9-1b5c2dca8c67.jpg
10E;143024t;https://cards.scryfall.io/large/front/9/9/993b3b90-74c3-479b-b3e6-3f1cd8f1da04.jpg
10E;129910;https://cards.scryfall.io/large/front/5/f/5f9271cc-6525-4a44-af24-915f0ba5afa9.jpg
10E;129911;https://cards.scryfall.io/large/front/c/f/cfa1bf2d-a4b4-44f6-9126-195c602605e0.jpg
10E;129912;https://cards.scryfall.io/large/front/e/3/e34fc636-439f-4ce0-8189-5d00b0cf6b1a.jpg
10E;129913;https://cards.scryfall.io/large/front/b/2/b261067f-b5de-41cc-ba9e-6ef4c061e170.jpg
10E;129473;https://cards.scryfall.io/large/front/3/a/3a67d7ae-3117-433f-ad82-44a4f015fecf.jpg
10E;129594;https://cards.scryfall.io/large/front/e/2/e21264cb-d915-4431-92fd-b0aa32a715fc.jpg
10E;132145;https://cards.scryfall.io/large/front/b/7/b79b3153-8874-458d-8e7e-cf97c6c1887c.jpg
10E;129595;https://cards.scryfall.io/large/front/9/c/9c8a5add-87af-447d-9fd7-c4aeec3685fb.jpg
10E;129596;https://cards.scryfall.io/large/front/a/3/a32862f4-53ed-41c7-b90f-5df2c01dd447.jpg
10E;129477;https://cards.scryfall.io/large/front/a/4/a4d17394-b9c4-43f6-9a6d-2c7c7ecb1d74.jpg
10E;130521;https://cards.scryfall.io/large/front/b/7/b760d616-b73a-4c7f-8a38-5606a9a321e3.jpg
10E;129598;https://cards.scryfall.io/large/front/a/f/afe62264-058d-4337-a793-a66eb42551f7.jpg
10E;130522;https://cards.scryfall.io/large/front/7/6/76d01445-ada9-452e-a6c0-d9dff59755f9.jpg
10E;129599;https://cards.scryfall.io/large/front/f/7/f752fb0c-31c4-4338-91c5-f2471c38d345.jpg
10E;129479;https://cards.scryfall.io/large/front/e/0/e0df1e5f-8cef-4e13-babf-4254a85ac46b.jpg
10E;130525;https://cards.scryfall.io/large/front/b/f/bf92ae01-9d1e-4b41-b068-096648daadf6.jpg
10E;130526;https://cards.scryfall.io/large/front/4/8/48484372-325a-4bef-ae86-a7f61816fd65.jpg
10E;129590;https://cards.scryfall.io/large/front/a/5/a56b6552-367e-4b0b-9095-42322843b1b2.jpg
10E;129470;https://cards.scryfall.io/large/front/4/0/407110e9-19af-4ff5-97b2-c03225031a73.jpg
10E;129591;https://cards.scryfall.io/large/front/1/4/14c2be6a-9ca6-4d3a-8dd0-db4ea40799f8.jpg
10E;130527;https://cards.scryfall.io/large/front/d/a/da6b8e11-b799-4235-bd8f-c4b55946c769.jpg
10E;129471;https://cards.scryfall.io/large/front/0/3/03b2ad93-8287-4b87-88ed-c627bd54fd49.jpg
10E;130528;https://cards.scryfall.io/large/front/e/a/ea9edff0-58a8-405d-9f2e-39f8269bbcb2.jpg
10E;129593;https://cards.scryfall.io/large/front/f/3/f3895c0c-0db8-4962-b386-57887fb60701.jpg
10E;136509;https://cards.scryfall.io/large/front/4/7/475294e2-792c-400b-b5ff-d4bf9e70718e.jpg
10E;129908;https://cards.scryfall.io/large/front/6/d/6d3e5fd8-2542-4fc9-a806-d9af287dd734.jpg
10E;129909;https://cards.scryfall.io/large/front/c/f/cf386439-0f68-454f-993b-d55dcc989d81.jpg
10E;129900;https://cards.scryfall.io/large/front/e/9/e957fab3-7a79-4b8f-813a-daaabb0ccbea.jpg
10E;129901;https://cards.scryfall.io/large/front/8/d/8d0586e0-5e93-4742-a5ae-893edd49117d.jpg
10E;129906;https://cards.scryfall.io/large/front/4/4/44060205-8a5c-4f6d-8190-e65d5250935a.jpg
10E;129583;https://cards.scryfall.io/large/front/b/f/bfd23186-6796-4430-86c5-f0d5337bbc91.jpg
10E;129584;https://cards.scryfall.io/large/front/d/a/da57d35a-ca0b-4f93-867c-d0a9fb5108f1.jpg
10E;129465;https://cards.scryfall.io/large/front/8/f/8f7980d4-da43-4d6d-ad16-14b8a34ae91d.jpg
10E;129586;https://cards.scryfall.io/large/front/4/0/409f9b88-f03e-40b6-9883-68c14c37c0de.jpg
10E;129466;https://cards.scryfall.io/large/front/7/6/762d12cd-a517-4604-97ac-b93d1a94a757.jpg
10E;130532;https://cards.scryfall.io/large/front/4/0/40c39852-efd3-4a25-b33b-3c13dad96e7d.jpg
10E;129588;https://cards.scryfall.io/large/front/9/b/9bf3bac0-6e63-4bd3-bbd6-547f46c2d126.jpg
10E;130530;https://cards.scryfall.io/large/front/4/1/41764237-fa31-4b27-92ff-712a42d350b9.jpg
10E;130531;https://cards.scryfall.io/large/front/8/a/8aa862a0-388d-43b8-973f-3a00ebf53952.jpg
10E;130534;https://cards.scryfall.io/large/front/c/6/c6d9be02-935e-4428-863b-95e84c88834a.jpg
10E;130535;https://cards.scryfall.io/large/front/b/e/bec5e56a-5bab-4965-9035-128c3f1ae175.jpg
10E;129580;https://cards.scryfall.io/large/front/c/e/ceae72d6-f2a2-4345-822d-6a7c2409a237.jpg
10E;130538;https://cards.scryfall.io/large/front/0/3/03993ba0-cdf1-4170-ab4e-7d1378aede12.jpg
10E;129582;https://cards.scryfall.io/large/front/e/b/ebbd596b-56c2-475c-93e4-c72f9f29281b.jpg
10E;130539;https://cards.scryfall.io/large/front/9/b/9b8a232d-7289-48c2-9160-54c1c4154721.jpg
10E;130539t;https://cards.scryfall.io/large/front/e/9/e9577d3c-ee19-4b53-adac-b304287a066f.jpg
10E;129459;https://cards.scryfall.io/large/front/b/e/be2326dd-78c9-46bb-a459-306602939a41.jpg
10E;129572;https://cards.scryfall.io/large/front/2/e/2efbc588-019e-416a-938c-4ccbe7121335.jpg
10E;129693;https://cards.scryfall.io/large/front/8/2/82633f38-5af1-429e-8c9d-db536af85309.jpg
10E;129574;https://cards.scryfall.io/large/front/d/6/d665187f-a8d3-40b6-bfaf-cf25d84484b4.jpg
10E;106473;https://cards.scryfall.io/large/front/b/d/bd92bcec-ddfa-41bf-97e4-983d850fe32e.jpg
10E;129696;https://cards.scryfall.io/large/front/4/b/4b848c69-0f64-4631-84b9-6597c359f3ba.jpg
10E;129697;https://cards.scryfall.io/large/front/d/0/d00c810c-7d92-484b-9bed-deae5f29582b.jpg
10E;106478;https://cards.scryfall.io/large/front/a/8/a8f4736f-e19e-4e7b-9846-4d0806e46ce9.jpg
10E;129698;https://cards.scryfall.io/large/front/f/4/f49a8b0d-f130-4a16-a79c-607618cc40bd.jpg
10E;129577;https://cards.scryfall.io/large/front/0/9/09e7dfad-aca9-498d-bd1c-5503b411ca5f.jpg
10E;129578;https://cards.scryfall.io/large/front/4/b/4b266935-25ea-49c5-a1da-57c22a4362fd.jpg
10E;129699;https://cards.scryfall.io/large/front/3/5/35673701-684c-4ba6-99f5-74364bc6fec2.jpg
10E;129458;https://cards.scryfall.io/large/front/f/3/f31cf014-7ac9-428b-9ce9-8ba5ebfdd252.jpg
10E;129579;https://cards.scryfall.io/large/front/d/9/d913e4d2-3502-41f3-871e-59b3b13df58a.jpg
10E;130542;https://cards.scryfall.io/large/front/0/7/074121e8-aecc-469f-b181-8e6a9e918826.jpg
10E;130547;https://cards.scryfall.io/large/front/0/4/0468f109-8020-4a74-8ffd-bba771362f76.jpg
10E;129690;https://cards.scryfall.io/large/front/e/e/ee662f0a-f874-464c-8206-d4ff427daf2b.jpg
10E;129570;https://cards.scryfall.io/large/front/d/9/d9fefe43-144a-4f47-80ce-c627efed9ac6.jpg
10E;130549;https://cards.scryfall.io/large/front/b/4/b4b6d10c-89eb-42a9-beda-129dbc5c79af.jpg
10E;129692;https://cards.scryfall.io/large/front/0/3/03a8b556-6e18-46ee-80f8-cbd922e37432.jpg
10E;134755;https://cards.scryfall.io/large/front/0/f/0f4e2c82-cdb8-4745-9af6-804717c541d7.jpg
10E;134756;https://cards.scryfall.io/large/front/1/8/18d9c85a-ba8e-40d4-ab09-1a22a7462030.jpg
10E;134757;https://cards.scryfall.io/large/front/1/2/1224718a-e1a7-473d-ac9d-497e624376cd.jpg
10E;134751;https://cards.scryfall.io/large/front/7/2/723fb62e-735a-4ca6-9d38-f1c3944fe69a.jpg
10E;129600;https://cards.scryfall.io/large/front/d/0/d08978a4-1c3a-4abf-9991-fe36220e1f4f.jpg
10E;134752;https://cards.scryfall.io/large/front/e/6/e6023c95-8cd8-4f12-960a-6557fbefd628.jpg
10E;134753;https://cards.scryfall.io/large/front/6/f/6fdd01bd-ab41-4005-8807-46db0cfc4da4.jpg
10E;129601;https://cards.scryfall.io/large/front/3/c/3c67344c-2066-4e19-88a2-52b272d7d216.jpg
10E;129722;https://cards.scryfall.io/large/front/3/9/3927cd85-9ee9-4f3c-b92e-8c860136283b.jpg
10E;130834;https://cards.scryfall.io/large/front/e/a/ea34a540-486b-42dc-993c-93698988d024.jpg
10E;134758;https://cards.scryfall.io/large/front/f/1/f186271c-2b03-4e0c-b922-27e23787d865.jpg
10E;129715;https://cards.scryfall.io/large/front/4/9/49dc08b0-491f-470c-b920-2ca961d0d569.jpg
10E;129716;https://cards.scryfall.io/large/front/b/c/bccc50a9-2cd0-4ee0-b4c9-a181b6b0cc7f.jpg
10E;129716t;https://cards.scryfall.io/large/front/c/8/c8ae31d1-9a6e-43f3-9b04-bd15699f73d6.jpg
10E;129718;https://cards.scryfall.io/large/front/0/3/037cbf71-1199-4457-9b09-f66e7cb294d5.jpg
10E;129719;https://cards.scryfall.io/large/front/3/8/3809b4c6-79b4-4a06-8fc9-beabc278cbf8.jpg
10E;132102;https://cards.scryfall.io/large/front/5/2/52aa4af5-f0cb-4512-bef5-2e46a43aa27b.jpg
10E;132101;https://cards.scryfall.io/large/front/6/2/621f9a58-0bc8-40dd-aef1-43618274d6fe.jpg
10E;132106;https://cards.scryfall.io/large/front/c/9/c9c17e3b-4d7f-4472-afe1-8e9358b82f2c.jpg
10E;134762;https://cards.scryfall.io/large/front/1/c/1c7be532-d353-4961-94bf-db3265515753.jpg
10E;132105;https://cards.scryfall.io/large/front/2/c/2cd81534-79cb-4fde-bfa5-11c510ac6e11.jpg
10E;129710;https://cards.scryfall.io/large/front/f/8/f835ff5d-e03d-4a93-98bb-704eaa1e2b64.jpg
10E;129711;https://cards.scryfall.io/large/front/a/2/a285aa3f-bcfb-4fc3-8441-85a56c72a3e4.jpg
10E;134764;https://cards.scryfall.io/large/front/9/9/9948fcc3-6e95-4b39-accd-a4083fff1244.jpg
10E;132107;https://cards.scryfall.io/large/front/5/a/5a49daec-5f0f-497b-a88e-fa62bf48ca23.jpg
10E;129709;https://cards.scryfall.io/large/front/4/0/4050c0a3-a318-4283-ae72-8fffcf8d45e9.jpg
10E;135186;https://cards.scryfall.io/large/front/6/1/61df49d2-1324-460b-8c72-6b6fe8b03c15.jpg
10E;135188;https://cards.scryfall.io/large/front/e/8/e864efca-d7c8-4ec7-8cda-ba89f9df7722.jpg
10E;135189;https://cards.scryfall.io/large/front/4/a/4a85419a-7ebb-4fe1-891f-b5295e18878f.jpg
10E;129704;https://cards.scryfall.io/large/front/3/c/3c1f1431-b324-4915-89e8-2697cf755441.jpg
10E;135182;https://cards.scryfall.io/large/front/9/a/9a2fd9e5-1986-4998-b08c-80897b9b27e7.jpg
10E;129707;https://cards.scryfall.io/large/front/4/e/4ed6122e-670f-4b02-a774-2c230f369147.jpg
10E;135184;https://cards.scryfall.io/large/front/8/7/8741d0e8-2e4c-49f1-96ad-d3903d29a6fd.jpg
10E;135185;https://cards.scryfall.io/large/front/c/a/ca3d403b-9b86-46f6-8a82-a69c754984e0.jpg
10E;129708;https://cards.scryfall.io/large/front/1/b/1bc1d6b5-ee32-4d62-848d-884da6376c63.jpg
10E;132111;https://cards.scryfall.io/large/front/4/2/42a5c12b-c947-4a71-b54f-e310150858a3.jpg
10E;106384;https://cards.scryfall.io/large/front/4/b/4b81ef83-41c2-46dc-aff9-41bb3a32637a.jpg
10E;136279;https://cards.scryfall.io/large/front/d/0/d0ae60d0-20d3-452c-9953-e229567c06f5.jpg
10E;130976;https://cards.scryfall.io/large/front/5/5/55552a2b-1861-4235-a60d-ccabb4839d54.jpg
10E;135191;https://cards.scryfall.io/large/front/8/a/8af61c18-a7ac-42c8-a942-d2f546c1ef57.jpg
10E;135197;https://cards.scryfall.io/large/front/2/5/2509a386-0c11-425c-9946-ab4add1abfee.jpg
10E;136286;https://cards.scryfall.io/large/front/8/8/881386b4-fc85-49f7-b2a5-3b41f6a6c920.jpg
10E;136289;https://cards.scryfall.io/large/front/8/6/86111211-b3d9-42eb-bab7-ee2cf9acda5d.jpg
10E;135199;https://cards.scryfall.io/large/front/3/d/3d1ccc3b-a6bd-4dc8-b7ba-99172d612106.jpg
10E;136288;https://cards.scryfall.io/large/front/e/b/ebe3b738-703d-465c-bc76-2b66f1e0aff2.jpg
10E;136283;https://cards.scryfall.io/large/front/6/5/65cfd454-5bc3-456c-9ca2-151af99f69ce.jpg
10E;132120;https://cards.scryfall.io/large/front/e/6/e6938602-d531-4ff1-abb3-c7982864c2e0.jpg
10E;135194;https://cards.scryfall.io/large/front/d/7/d79599f4-7038-4b8f-9a44-e58b650f21a7.jpg
10E;136282;https://cards.scryfall.io/large/front/2/d/2d6fe257-b1bd-4eaf-9941-e8819f3bc89a.jpg
10E;136285;https://cards.scryfall.io/large/front/3/e/3ed23582-3260-44c6-9884-904d294442ad.jpg
10E;135195;https://cards.scryfall.io/large/front/1/1/114f37e0-0a00-4ab0-840c-8f02cea101b3.jpg
10E;136284;https://cards.scryfall.io/large/front/6/9/69e461bb-5d51-4f9c-a753-9fb090f564e8.jpg
10E;129495;https://cards.scryfall.io/large/front/a/f/af7cc984-1378-4b01-8115-d3c5b4f68a2a.jpg
10E;106398;https://cards.scryfall.io/large/front/e/c/ec7b9336-5aa3-4992-b04b-4786150c6074.jpg
10E;129496;https://cards.scryfall.io/large/front/7/0/70afcfca-c065-4a33-95b1-ec2b08bcb493.jpg
10E;132123;https://cards.scryfall.io/large/front/7/1/71f8c040-b6da-42f4-9140-7cd5eceb51c7.jpg
10E;129497;https://cards.scryfall.io/large/front/a/c/ac3c4e31-673e-4148-bd2e-de569906ce7d.jpg
10E;132127;https://cards.scryfall.io/large/front/a/e/ae635d18-5d22-494c-8bc7-5d52f3021cbb.jpg
